Rank,Movie Title,Release Year,IMDb Rating,Movie Link
33,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/?ref_=chttp_i_33
34,Parasite,2019,8.5,https://www.imdb.com/title/tt6751668/?ref_=chttp_i_34
35,Grave of the Fireflies,1988,8.5,https://www.imdb.com/title/tt0095327/?ref_=chttp_i_35
36,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/?ref_=chttp_i_36
37,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/?ref_=chttp_i_37
38,Harakiri,1962,8.6,https://www.imdb.com/title/tt0056058/?ref_=chttp_i_38
39,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/?ref_=chttp_i_39
40,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/?ref_=chttp_i_40
41,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/?ref_=chttp_i_41
42,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/?ref_=chttp_i_42
43,Léon: The Professional,1994,8.5,https://www.imdb.com/title/tt0110413/?ref_=chttp_i_43
44,Spider-Man: Across the Spider-Verse,2023,8.5,https://www.imdb.com/title/tt9362722/?ref_=chttp_i_44
45,Cinema Paradiso,1988,8.5,https://www.imdb.com/title/tt0095765/?ref_=chttp_i_45
46,Casablanca,1942,8.5,https://www.imdb.com/title/tt0034583/?ref_=chttp_i_46
47,The Intouchables,2011,8.5,https://www.imdb.com/title/tt1675434/?ref_=chttp_i_47
48,The Usual Suspects,1995,8.5,https://www.imdb.com/title/tt0114814/?ref_=chttp_i_48
49,Alien,1979,8.5,https://www.imdb.com/title/tt0078748/?ref_=chttp_i_49
50,Django Unchained,2012,8.5,https://www.imdb.com/title/tt1853728/?ref_=chttp_i_50
51,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/?ref_=chttp_i_51
52,Rear Window,1954,8.5,https://www.imdb.com/title/tt0047396/?ref_=chttp_i_52
53,Once Upon a Time in the West,1968,8.5,https://www.imdb.com/title/tt0064116/?ref_=chttp_i_53
54,City Lights,1931,8.5,https://www.imdb.com/title/tt0021749/?ref_=chttp_i_54
55,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_55
56,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_56
57,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/?ref_=chttp_i_57
58,Dune: Part Two,2024,8.4,https://www.imdb.com/title/tt15239678/?ref_=chttp_i_58
59,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/?ref_=chttp_i_59
60,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/?ref_=chttp_i_60
61,The Lives of Others,2006,8.4,https://www.imdb.com/title/tt0405094/?ref_=chttp_i_61
62,Spider-Man: Into the Spider-Verse,2018,8.4,https://www.imdb.com/title/tt4633694/?ref_=chttp_i_62
63,Sunset Boulevard,1950,8.4,https://www.imdb.com/title/tt0043014/?ref_=chttp_i_63
64,Witness for the Prosecution,1957,8.4,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_64
65,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/?ref_=chttp_i_65
66,The Shining,1980,8.4,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_66
67,The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_67
68,Inglourious Basterds,2009,8.4,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_68
69,12th Fail,2023,8.7,https://www.imdb.com/title/tt23849204/?ref_=chttp_i_69
70,Aliens,1986,8.4,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_70
71,High and Low,1963,8.4,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_71
72,The Dark Knight Rises,2012,8.4,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_72
73,Avengers: Endgame,2019,8.4,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_73
74,Coco,2017,8.4,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_74
75,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_75
76,Amadeus,1984,8.4,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_76
77,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_77
78,Your Name.,2016,8.4,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_78
79,Das Boot,1981,8.4,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_79
80,Oldboy,2003,8.3,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_80
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_81
82,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_82
83,Princess Mononoke,1997,8.3,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_83
84,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_84
85,3 Idiots,2009,8.4,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_85
86,Capernaum,2018,8.4,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_86
87,Joker,2019,8.3,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_87
88,Singin' in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_88
89,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_89
90,Come and See,1985,8.3,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_90
91,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_91
92,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_92
93,Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_93
94,Ikiru,1952,8.3,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_94
95,The Hunt,2012,8.3,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_95
96,Incendies,2010,8.3,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_96
97,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_97
98,The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_98
99,Lawrence of Arabia,1962,8.3,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_99
100,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_100
101,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_101
102,Heat,1995,8.3,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_102
103,Scarface,1983,8.3,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_103
104,Double Indemnity,1944,8.3,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_104
105,Up,2009,8.3,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_105
106,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_106
107,Like Stars on Earth,2007,8.3,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_107
108,Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_108
109,M,1931,8.3,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_109
110,Citizen Kane,1941,8.2,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_110
111,Amélie,2001,8.3,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_111
112,Vertigo,1958,8.2,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_112
113,A Separation,2011,8.3,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_113
114,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_114
115,To Kill a Mockingbird,1962,8.3,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_115
116,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_116
117,Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_117
118,A Clockwork Orange,1971,8.2,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_118
119,Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_119
120,Snatch,2000,8.2,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_120
121,1917,2019,8.2,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_121
122,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_122
123,Downfall,2004,8.2,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_123
124,The Wolf of Wall Street,2013,8.2,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_124
125,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_125
126,Bicycle Thieves,1948,8.2,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_126
127,Oppenheimer,2023,8.2,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_127
128,The Truman Show,1998,8.2,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_128
129,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_129
130,Shutter Island,2010,8.2,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_130
131,Judgment at Nuremberg,1961,8.3,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_131
132,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_132
133,Hamilton,2020,8.3,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_133
134,For a Few Dollars More,1965,8.2,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_134
135,Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_135
136,Jurassic Park,1993,8.2,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_136
137,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_137
138,There Will Be Blood,2007,8.2,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_138
139,The Kid,1921,8.2,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_139
140,The Father,2020,8.2,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_140
141,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_141
142,The Sixth Sense,1999,8.2,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_142
143,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_143
144,Casino,1995,8.2,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_144
145,No Country for Old Men,2007,8.2,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_145
146,The Thing,1982,8.2,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_146
147,Top Gun: Maverick,2022,8.2,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_147
148,Prisoners,2013,8.2,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_148
149,Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_149
150,Kill Bill: Vol. 1,2003,8.2,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_150
151,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_151
152,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_152
153,The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_153
154,Howl's Moving Castle,2004,8.2,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_154
155,Finding Nemo,2003,8.2,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_155
156,Yojimbo,1961,8.2,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_156
157,Klaus,2019,8.2,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_157
158,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_158
159,The Elephant Man,1980,8.2,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_159
160,Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_160
161,The Best of Youth,2003,8.4,https://www.imdb.com/title/tt0346336/?ref_=chttp_i_161
162,Dial M for Murder,1954,8.2,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_162
163,The Chaos Class Failed the Class,1975,8.5,https://www.imdb.com/title/tt0252488/?ref_=chttp_i_163
164,The Secret in Their Eyes,2009,8.2,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_164
165,Gone with the Wind,1939,8.2,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_165
166,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,8.4,https://www.imdb.com/title/tt32820897/?ref_=chttp_i_166
167,Chinatown,1974,8.1,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_167
168,"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_168
169,V for Vendetta,2005,8.1,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_169
170,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_170
171,Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_171
172,Rashomon,1950,8.1,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_172
173,"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_173
174,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_174
175,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_175
176,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_176
177,Dead Poets Society,1989,8.1,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_177
178,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_178
179,The Wild Robot,2024,8.2,https://www.imdb.com/title/tt29623480/?ref_=chttp_i_179
180,Warrior,2011,8.1,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_180
181,Raging Bull,1980,8.1,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_181
182,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_182
183,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_183
184,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_184
185,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_185
186,Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_186
187,My Neighbor Totoro,1988,8.1,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_187
188,Children of Heaven,1997,8.2,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_188
189,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_189
190,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_190
191,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_191
192,Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_192
193,Ratatouille,2007,8.1,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_193
194,Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_194
195,Memories of Murder,2003,8.1,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_195
196,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_196
197,Spider-Man: No Way Home,2021,8.1,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_197
198,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_198
199,"Monsters, Inc.",2001,8.1,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_199
200,Jaws,1975,8.1,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_200
201,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_201
202,Ford v Ferrari,2019,8.1,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_202
203,Wild Tales,2014,8.1,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_203
204,The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_204
205,Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_205
206,Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_206
207,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_207
208,The Wages of Fear,1953,8.1,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_208
209,The General,1926,8.1,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_209
210,Logan,2017,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_210
211,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_211
212,Rocky,1976,8.1,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212
213,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_213
214,Tokyo Story,1953,8.1,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_214
215,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_215
216,Wild Strawberries,1957,8.1,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_216
217,Spotlight,2015,8.1,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_217
218,La haine,1995,8.1,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_218
219,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_219
220,Jai Bhim,2021,8.6,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_220
221,The Terminator,1984,8.1,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_221
222,Maharaja,2024,8.3,https://www.imdb.com/title/tt26548265/?ref_=chttp_i_222
223,A Silent Voice: The Movie,2016,8.2,https://www.imdb.com/title/tt5323662/?ref_=chttp_i_223
224,The Sound of Music,1965,8.1,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_224
225,The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_225
226,The Best Years of Our Lives,1946,8.1,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_226
227,The Seventh Seal,1957,8.1,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_227
228,Chainsaw Man - The Movie: Reze Arc,2025,8.4,https://www.imdb.com/title/tt30472557/?ref_=chttp_i_228
229,Room,2015,8.1,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_229
230,Before Sunset,2004,8.1,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_230
231,Hotel Rwanda,2004,8.1,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_231
232,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_232
233,The Incredibles,2004,8,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_233
234,Marty Supreme,2025,8.2,https://www.imdb.com/title/tt32916440/?ref_=chttp_i_234
235,Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_235
236,The Exorcist,1973,8.1,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_236
237,Rush,2013,8.1,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_237
238,The Wizard of Oz,1939,8.1,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_238
239,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_239
240,The Iron Giant,1999,8.1,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_240
241,The Passion of Joan of Arc,1928,8.1,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_241
242,My Father and My Son,2005,8.2,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_242
243,The Battle of Algiers,1966,8.1,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_243
244,The Handmaiden,2016,8.1,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_244
245,Network,1976,8.1,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_245
246,Gangs of Wasseypur,2012,8.2,https://www.imdb.com/title/tt1954470/?ref_=chttp_i_246
247,To Be or Not to Be,1942,8.1,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_247
248,The Grapes of Wrath,1940,8.1,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_248
249,Drishyam,2015,8.2,https://www.imdb.com/title/tt4430212/?ref_=chttp_i_249
250,Dhurandhar,2025,8.5,https://www.imdb.com/title/tt33014583/?ref_=chttp_i_250
